,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought
9373,"Stella-Jones, Inc.",19-RC-288111,Arlington,WA,2021-12-23,"Region 19, Seattle, Washington",Closed,01/06/2022,Withdrawal Non-adjusted,,14.0,,"Included: All full time and regular part time framer, operator, laborer, quality control, engineer, maintenance, millwright and leads working at the Arlington location. Excluded: As defined in the Act."
9374,"Riverstreet Center Opco, LLC",04-RC-288059,Wilkes-Barre,PA,2021-12-22,"Region 04, Philadelphia, Pennsylvania",Closed,03/17/2022,Certific. of Representative,38.0,36.0,"Retail, Wholesale, Department Store Union/United Food Commercial Workers (RWDSU/UFCW)","Included:  All part time and full time certified nurses aids

Excluded:  All RN nurses, LPN nurses and housekeeping employees"
9375,"Laz Parking New York/New Jersey, LLC",02-RC-288002,Peekskill,NY,2021-12-22,"Region 02, New York, New York",Closed,03/18/2022,Certification of Results,5.0,6.0,"Local 272, International Brotherhood of Teamsters","Included: All workers assigned to maintaining the employer's parking facilities from the stated location. 

Excluded: All supervisory and management personnel as defined by the Act"
9376,Guthrie Theater Foundation,18-RC-288018,Minneapolis,MN,2021-12-22,"Region 18, Minneapolis, Minnesota",Closed,03/01/2022,Certific. of Representative,10.0,15.0,"United Scenic Artists, Local USA 829, IATSE","All full-time and regular part-time scenic art employees employed by the Employer; excluding all other employees, including all clerical employees, managers, guards, and supervisors as defined by the Act."
9377,CSI Sands (N.E.) Ltd,03-RC-288015,Buffalo,NY,2021-12-22,"Region 03, Buffalo, New York",Closed,02/11/2022,Certific. of Representative,15.0,14.0,"International Union of Operating Engineers, Local 17","Laborers; operators-incl load out & control rooms; maintenance & repair workers; shift leads.  Excluded:  Professional employees, clerical staff, truck drivers."
9378,"The Public Interest Network, Operating as Integrated Enterprise",27-RC-288050,Denver,CO,2021-12-22,"Region 27, Denver, Colorado",Closed,01/28/2022,Withdrawal Non-adjusted,,208.0,,"Included: Administrative Assistant, Direct Mail, Administrative Assistant, Legal Department, Administrator, Assistant Fiscal, Administrator, Canvass Regional, Administrator, Data, Administrator, Digital Campaigns, Administrator, Digital Data Administrator, Donor Operations, Administrator, Finance, Administrator, Fiscal, Administrator, Grants Department, Administrator, IT, Administrator, National Program, Administrator, Payroll, Administrator, Recruitment, Administrator, Regional Canvass, Administrator, State Financial, Administrator, State Offices Advocate, Environment North Carolina, Advocate, Health Care Advocate, PennPIRG, Advocate, Shareholder, Advocate, WashPIRG, Assistant Canvass Director, Assistant Director, Portland Telephone Outreach Project Assistant Director, Telephone Outreach Project, Assistant to the Director of Development, Associate, Associate Director, Direct Mail, Associate, Donor Associate, 100% Renewable States, Associate, Budget Operations, Associate, CALPIRG, Associate, Clean Energy, Associate, Clean Water, Associate, Clean Water, Environment Georgia, Associate, Climate Campaign, Associate, Communications, Associate, Community Defense, Associate, Conservation Associate, Consumer Watchdog, Associate, Creative, Associate, Development Associate, Environment Illinois, Associate, Environment New Jersey, Associate, Environment Texas, Associate, Federal Legislative, Associate, Finance and Operations, Associate, Financial, Associate, Global Warming, Associate, Global Warming Solutions, Associate, Green Century, Associate, Illinois PIRG, Associate, Make It Toxic Free, Associate, Make Polluters Pay, Associate, Marketing, Associate, MarylandPIRG, Associate, MASSPIRG, Associate, Oceans, Associate, PennEnvironment, Associate, PIRG Climate, Associate, Public Health, Associate, Save the Bees, Associate, Transportation, Bookkeeper, Boston Office Manager, Campaign Associate, Campaign Director, Right to Repair, Campaign Organizer, Campaigns Associate, Public Health, Campus Clubs Organizer, Campus Organizer, Canvass Director, Community Organizer, MA and RI, Compliance Officer, Content Creator, Coordinator, Clean Water Network, Coordinator, Member Relations, Coordinator, Operations, Coordinator, Planned Giving, Data Analyst, Deputy Director of Media Relations, Deputy Editor, Deputy Political Director, Digital Campaigner, Digital Engineer, Digital Organizer, Director, Campaign to Defend the Consumer Bureau, Director, Prospecting, Director, Targeting, Field Organizer, PennEnvironment, Grantwriter, Office Administrator, Pennsylvania State, Organizer, Alumni, Organizer, Ann Arbor, Organizer, Campus Clubs, Organizer, Maine, Organizer, Web, Policy Advocate, Policy Analyst, Policy Associate, Policy Associate, Frontier Group, Projects Manager, Prospect Researcher, Recruitment Director, Senior Director, Federal Consumer Program, Senior Web Strategist, Shareholder Advocate, State Director, States Bookkeeper, Vice President, and Federal Government Affairs. 
Exclude: Callers and Administrative working in the Telephone Outreach Project office in Portland, Oregon, temporary employees, professional employees, confidential employees, managers, guards, and supervisors, as defined by the Act.
"
9380,The Coffee Tree Roasters Corporation,06-RC-288069,West Mifflin,PA,2021-12-22,"Region 06, Pittsburgh, Pennsylvania",Closed,03/02/2022,Certific. of Representative,27.0,52.0,United Food and Commercial Workers International Union,"Included: All full-time and regular part-time Baristas and Barista Pluses employed by the Employer at its retail locations at Fox Chapel Plaza, Pittsburgh, PA 15238, 299 Beverly Road, Pittsburgh, PA 15216, 10 Old Clairton Road, Pittsburgh, PA 15236, 5524 Walnut Street, Pittsburgh, PA 15232, and 5840 Forbes Avenue, Pittsburgh, PA 15217 
Excluded: All Managers, Assistant Managers, and guards, and professional employees and supervisors as defined by the National Labor Relations Act
"
9381,Amazon.com Services LLC,29-RC-288020,Staten Island,NY,2021-12-22,"Region 29, Brooklyn, New York",Open,,,8325.0,5000.0,Amazon Labor Union,
9382,Lockheed Martin Rotary and Missions Systems Training and Logistics Solutions,21-RC-288048,San Diego,CA,2021-12-22,"Region 21, Los Angeles, California",Closed,02/22/2022,Certific. of Representative,7.0,7.0,"International Association of Machinists & Aerospace Workers, District Lodge 725, AFL-CIO","Included: All full time, regular part time, and casual employees of Lockheed Marin F-35 Flight Instructors at Marine Corps Air Station Miramar

Excluded: Guards, Office Clerical and Supervisors as defined in the Act."
9383,"Ozinga Ready Mix Concrete, Inc.",13-RC-287936,Gary,IN,2021-12-21,"Region 13, Chicago, Illinois",Closed,04/05/2022,Certific. of Representative,8.0,8.0,,"Included:  All full-time and regular part-time Plant Manager, Assistant Plant Manager, and Utility Employees who work out of or report to the following facilities, 2555 E. 15th Avenue, Gary, IN 46402; 1211 E. Summit St., Crown Point, IN 46307; 10501 W. 133rd, Cedar Lake, IN 46303; 2750 Raystone Dr., Valparaiso, IN 46485; 7420 Industrial Blvd., Chesterton, IN 46304.

Excluded:  All managers, Office Clerical employees, professional employees, temporary employees, guards and supervisors as defined in the Act, and all other employees.
"
9384,"Tropical Shipping USA, LLC",12-RC-287944,Riviera Beach,FL,2021-12-21,"Region 12, Tampa, Florida",Closed,05/17/2022,Certification of Results,83.0,60.0,,Included:  All shipside employees in stevedoring department.  Excluded:  All other employees.
9385,"Verano Holdings, LLC d/b/a Zen Leaf",13-RC-287943,Lombard,IL,2021-12-21,"Region 13, Chicago, Illinois",Closed,03/08/2022,Certific. of Representative,25.0,19.0,Teamsters Local Union No. 777,"Included: Cannabis Advisors Excluded: Managers, Assistant Managers, Agents-in-charge, and all other supervisors and guards as defined by the Act"
9386,Northwest EMS,06-RC-288025,McKees Rocks,PA,2021-12-21,"Region 06, Pittsburgh, Pennsylvania",Closed,01/05/2022,Withdrawal Non-adjusted,,63.0,,"Included: All full-time and part-time Paramedics and EMT's Excluded: All office, guards, professional employees and supervisors as defined by the Act."
9387,Lines for Life,19-RC-288045,Portland,OR,2021-12-21,"Region 19, Seattle, Washington",Closed,03/03/2022,Certific. of Representative,164.0,150.0,Oregon AFSCME Council 75,"Included: All non-supervisory employees including, but not limited to the following classifications or job titles:  Lead Content Writer, CCL Preceptor, Helpers Helping Helpers Facilitator, Youth Line Outreach Coordinator, Youth Line Volunteer Coordinator, Events Specialist, Events Coordinator, OPR Coordinator, CADC Case Manager, CIS, Youth Line Staff, Youth Line Supervisor, all non-supervisory Counselors, all Team Leads, Safe and Strong Counselor, QA Specialists, non-supervisory CADCs, Coordinators, Event Specialist, all non-supervisory admin staff, all other non-supervsory staff.  Excluded: Supervisory staff,  managers, and directors."
9388,Cintas Corporation,07-RC-288086,Midland,MI,2021-12-21,"Region 07, Detroit, Michigan",Closed,01/13/2022,Withdrawal Non-adjusted,,3.0,,"Included:  Loader/Unloader (411)

Excluded:  Supervisors, Managers, General Manager and all other inside plant employees"
9389,Titmouse Inc. Animation Studios,02-RC-287902,Manhattan,NY,2021-12-20,"Region 02, New York, New York",Closed,12/29/2021,Withdrawal Non-adjusted,,100.0,,"Included:  3D Modelers,Animation Directors,Animators,Art Directors
Assistant Directors
Background Layout Artists Background Painters
Character Designer Assistants Character Designers
Character Layout Artist
Colorists
Compositors
Design Coordinator Directors Interns
Lead Storyboard Revisionist
Pro Designers
Production Assistants
Production Coordinators
Production Manager
Prop Designers
Retake Animation Directors
Retakes Animators
Rigging 
Sheet Timers
Storyboard Artists
Storyboard Checkers
Storyboard Coordinator Storyboard Directors Storyboard Revisionists Storyboard Supervisors Storybook Designers Supervising Directors Technical Directors 
Excluded:  All other employees"
9390,"Universal Protection Service, LLC d/b/a Allied Universal Security Services",05-RC-287927,Washington,DC,2021-12-20,"Region 05, Baltimore, Maryland",Closed,02/23/2022,Certific. of Representative,14.0,15.0,National League of Justice and Security Professionals (NLJSP),"Included: All regular part-time and full-time Security employees of the Employer.

Excluded: All managerial, clerical and Supervisory personnel as defined by the NLRA."
9392,Oshman Family Jewish Community Center,32-RC-287975,East Palo Alto,CA,2021-12-20,"Region 32, Oakland, California",Closed,03/18/2022,Certification of Results,6.0,5.0,,"Included:  All full-time and regular part-time audio Visual Event Technicians employed by the 
Employer  at or from its facility located at 3921 Fabian Way, Palo Alto, CA.  

Excluded: Confidential employees, office clerical employees, guards, and supervisors as defined by the Act.
"
9393,Starbucks Corporation,19-RC-287954,Seattle,WA,2021-12-20,"Region 19, Seattle, Washington",Closed,03/30/2022,Certific. of Representative,13.0,15.0,Workers United Affiliated with Service Employees International Union,"Included: All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers. Excluded: Store Managers; office clericals, guards, and supervisors as defined by the Act."
9395,Virginia Electric and Power Company,05-RC-287851,Surry,VA,2021-12-17,"Region 05, Baltimore, Maryland",Closed,04/06/2023,Withdrawal Non-adjusted,140.0,130.0,,"Included: All Nuclear Security Officers, Nuclear Security Specialists and Nuclear Security & Alarm Specialists.


Excluded:  All other employees and supervisors as defined by the Act."
9400,Rhode Island School of Design,01-RC-287879,Providence,RI,2021-12-17,"Region 01, Boston, Massachusetts",Closed,02/23/2022,Certific. of Representative,61.0,67.0,International Brotherhood of Teamsters Local 251,"Included: All full-time and part-time custodians, facilities (including grounds/caretakers and movers and group leaders employed by RI School of Design at its 2 college Street, Providence, RI campus. Excluded; All other employees, guards, managers and supervisors as defined in the Act."
9402,Alliance for South Sound Health dba Wellfound Behavioral Health Hospital,19-RC-287844,Tacoma,WA,2021-12-16,"Region 19, Seattle, Washington",Closed,03/04/2022,Certification of Results,39.0,55.0,Service Employees International Union Healthcare 1199NW,"Included: ARNP, Care Coordinator, Court Coordinator, Group Therapist, Group Therapy Team Lead, Licensed Mental Health Counselor, Medical NP, Mental Health Counselor, PAC, Recreational Therapist, Social Worker, Social Worker Certified, Tele Psych PMHNP, Therapy Team Lead. Excluded: All other employees, guards, and supervisors as defined by the Act."
9403,"Valiant Global Defense Services, Inc. d/b/a Valiant Integrated Services",12-RC-287831,Jacksonville,FL,2021-12-16,"Region 12, Tampa, Florida",Closed,02/24/2022,Certific. of Representative,7.0,11.0,Association of Diversified Aircrew Readiness Training Support AAAT Contract Instructors of Florida,"Included: All full-time and regular part-time electronic warfare operator contract instructors, acoustic warfare operator contract instructors, and curriculum developers employed by the Employers at the Jacksonville Naval Air Station in Jacksonville, Florida and the Naval Air Station Mayport, Florida. 

Excluded: All other employees, office clerical employees, professional employees, managerial employees, guards, and supervisors as defined by the Act. 
"
9404,"Alta Construction Equipment Illinois, LLC",13-RC-287724,Gary,IN,2021-12-15,"Region 13, Chicago, Illinois",Closed,03/03/2022,Certific. of Representative,13.0,11.0,"International Union of Operating Engineers, Local 150, AFL-CIO","Included: All regular full- and part-time parts employees employed by the Employer at
its Gary, Indiana; Spring Grove and Ottawa, Illinois, locations.

Excluded:
Guards, 
clericals, supervisors, and managers, as defined by the Act."
9405,"Pacific Parking, LLC",29-RC-287787,Brooklyn,NY,2021-12-15,"Region 29, Brooklyn, New York",Closed,04/27/2022,Certific. of Representative,6.0,3.0,"Local 272, International Brotherhood of Teamsters",Included: 3 Excluded: 0
9406,"Linxx Global Solutions, Inc.",05-RC-287700,Quantico,VA,2021-12-15,"Region 05, Baltimore, Maryland",Closed,02/03/2022,Certific. of Representative,10.0,10.0,Federal Contract Guards of America (FCGOA),"Included: All full-time and regular part-time protective security officers working for the Company on its subcontract with the Federal Government at the DEA Quantico Training Academy.


Excluded:  All other employees, including administrative, clerical, and non-guards, as defined by the NLRA, as amended."
9407,"Ray S.F. Inc., d/b/a FreezPak Logistics",04-RC-287758,Philadelphia,PA,2021-12-15,"Region 04, Philadelphia, Pennsylvania",Closed,03/02/2022,Certification of Results,9.0,9.0,,"Included:  All full-time and regular part-time warehouse employees employed by the Employer at its 1801 North 5th Street, Philadelphia, PA facility. 

Excluded:  All other employees, temporary employees, clerical employees, managers, guards and supervisors as defined in the Act."
9408,Cushman & Wakefield,06-RC-287721,Pittsburgh,PA,2021-12-15,"Region 06, Pittsburgh, Pennsylvania",Closed,12/17/2021,Withdrawal Non-adjusted,,2.0,,"Included: All full time and part time skilled maintenance staff. Excluded: Office clerical employees, security guards and professional employees."
9409,Preterm,08-RC-287769,Cleveland,OH,2021-12-15,"Region 08, Cleveland, Ohio",Closed,01/07/2022,Withdrawal Non-adjusted,,50.0,,"Included:  Administrative Assistant, Appointment Center Manager, Clinic Administrative Supervisor, Digital Community Organizing Specialist, Intake Medical Receptionist, Medical Associate, Medical Records Manager, Medical Support, Patient Advocate, Policy and Partnership Associate, Patient Advocate, Preterm Associate, Preterm Facilities, Preterm Financial Manager, Preterm Intake, Quality and Compliance Manager, Registered Nurse, Ultera Sound Technician,

Excluded: All other employees, managers, guards and supervisors as defined by the Act."
9410,Country Doctor Community Health Centers,19-RC-287799,Seattle,WA,2021-12-15,"Region 19, Seattle, Washington",Closed,02/23/2022,Certific. of Representative,155.0,135.0,SEIU 1199NW Healthcare,"Included:   Non Professional:  Clinic Operations Coordinator, Coding & Reimbursement Specialist, Community/Patient Education Coordinator, Credentialing Specialist, Diabetes Management Coordinator, Eligibility Specialist, Epic Site Specialist, Dental Assistant, Dental Hygienist, Gender Care Navigator, Lab Technologist - ASCP, Managed Care Coordinator, Medical Assistant, Medical Assistant-Lead, Medical lnterpreter, Medical Records Clerk, Patient Account Rep I Dental, Patient Account Rep. I, Patient Account Rep. II, Patient Service Representative (FKA Call Center Clerk), Lead PSR, Peer Support Specialist, Pharmacy Technician, Pharmacy Technician Lead, Phlebotomist, Referral Coordinator, Resident Coordinator

Professional:  Behavioral Health Counselor, ClinicRN/Triage, Community Health Nurse, HIV Care Coordinator/RN, HIV Case Manager, MSS Psychosocial Worker (Bachelors), MSS Psychosocial Worker (Masters), MSW, Licensed, Clinical, OB Coordinator - RN, Pharmacist

Excluded:  All other employees, guards, and supervisors as defined by the Act."
9411,"Metropolitan Security Services, Inc. d/b/a Walden Security",05-RC-287768,Baltimore,MD,2021-12-15,"Region 05, Baltimore, Maryland",Closed,04/15/2022,Certific. of Representative,22.0,22.0,Federal Contract Guards of America (FCGOA),"Included:  All full-time and regular part-time lead officers (colloquially known as Lieutenants) working for the Company on its contract with the Federal Government at the Social Security Administration Main Complex, Security West, and the Perimeter East Building in Woodlawn/Baltimore, MD.

Excluded:  All other employees, including administrative, clerical, and non-guards, as defined by the NLRA, as
amended."
9414,"Congo Brands, LLC",04-RC-287766,Philadelphia,PA,2021-12-15,"Region 04, Philadelphia, Pennsylvania",Closed,03/02/2022,Certification of Results,10.0,9.0,,"Included:  All route drivers, route sales and utility workers

Excluded:  All office personnel and management as defined in the Act"
9416,"Zurcher Tire, Inc.",14-RC-287682,Columbia,MO,2021-12-14,"Region 14, Saint Louis, Missouri",Closed,03/01/2022,Certification of Results,19.0,18.0,"International Brotherhood of Teamsters, Local 833","All drivers and warehouse persons, but excluding administration, management and outside sales as by the Act."
9417,WGBO License Partnership G.P.,13-RC-287653,Chicago,IL,2021-12-14,"Region 13, Chicago, Illinois",Closed,02/24/2022,Certific. of Representative,14.0,16.0,Screen Actors Guild - American Federation of Television and Radio Artist (SAG-AFTRA),"Included: All full-time and regular part-time employees of the Employer who produce, report, or
deliver broadcast or digital news programming including all anchors, reporters, producers, and
digital content producers.


Excluded All other employees including represented employees, employees reporting to the
Director of Operations (technical operations and creative services employees), managers,
confidential employees, guards, and supervisors as defined under the Act."
9418,"Watkins Security Agency of DC, Inc.",05-RC-287691,Washington,DC,2021-12-14,"Region 05, Baltimore, Maryland",Closed,02/11/2022,Certification of Results,15.0,15.0,,"Included: 
All Regular part-time and full time employees of providing Security services.
 
Excluded: 
All Clerical, Managerial and Supervisors as defined in the Act.."
9419,"Tyler Trucking, Inc.",08-RC-287674,Bethesda,OH,2021-12-14,"Region 08, Cleveland, Ohio",Closed,08/09/2022,Certific. of Representative,7.0,5.0,"Teamsters, Chauffeurs, Warehousemen & Helpers Local 697","All full time and regular part-time truck drivers employed at the Employer's Bethesda, Ohio facility, but excluding all professional employees and supervisors as defined in the Act."
9422,Maimonides Medical Center,29-RC-287684,Brooklyn,NY,2021-12-14,"Region 29, Brooklyn, New York",Closed,01/07/2022,Withdrawal Non-adjusted,,10.0,,"Included: All full-time and regular part-time pharmacy interns employed at the Employer's 4802 10th Ave. facility as residuals to the existing multi-employer unit currently represented by the Petitioner at that location. 

Excluded: All guards, managers, confidential employees and supervisors as defined in Section 2(11) of the Act.
"
9423,"Service Sanitation Wisconsin, Inc.",18-RC-287707,Pewaukee,WI,2021-12-14,"Region 18, Minneapolis, Minnesota",Closed,02/18/2022,Certific. of Representative,11.0,9.0,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL UNION 695","Included: Drivers, Utility Employees, Yard Employees, Warehouse Employees, Mechanics, and Helpers.

Excluded: Management, administration, supervisors."
9425,"RBP Chemical Technology, Inc.",18-RC-287652,Milwaukee,WI,2021-12-13,"Region 18, Minneapolis, Minnesota",Closed,02/24/2022,Certification of Results,10.0,8.0,,"Included:  All employees at the Employer's Milwaukee, Wisconsin facility.

Excluded:  All quality control employees, sales employees, statutory supervisors, and guards as defined by the Act."
9426,Politics & Prose,05-RC-287571,Washington,DC,2021-12-13,"Region 05, Baltimore, Maryland",Closed,12/29/2021,Withdrawal Non-adjusted,,55.0,,"Included:  All full-time and regular part-time Booksellers, Shift Supervisors, Finance Employees,
Receiving Employees, the Den Employees, Events Employees, Supported Events Employees,
Marketing Employees, and Web Orders Employees.

Excluded:  All managers, supervisors, confidential employees and guards as defined by the Act."
9427,Children's National Hospital,05-RC-287576,Bowie,MD,2021-12-13,"Region 05, Baltimore, Maryland",Closed,02/24/2022,Certific. of Representative,10.0,11.0,District of Columbia Nurses Association,"Included:  Registered Nurses.  Excluded:  All others.
"
9428,Valiant Integrated Services,12-RC-287644,Jacksonville,FL,2021-12-13,"Region 12, Tampa, Florida",Closed,12/17/2021,Withdrawal Non-adjusted,,11.0,,"Included: DARTS/AAA  Contract Instructors of Florida
"
9429,Albertson's LLC,27-RC-287610,Rock Springs,WY,2021-12-13,"Region 27, Denver, Colorado",Closed,02/23/2022,Certification of Results,7.0,8.0,,"Included: All full-time and regular part-time employees in the meat department and butcher block. (Self-Determination election on whether to join existing Service Deli bargaining unit) Excluded: office clerical, confidential and professional employees, guards, watchmen, one Meat Manager, the Store Director, two Assistant Store Directors, other supervisors as defined in the Act, and all other employees"
