,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
14,"Prime Healthcare Services – San Dimas, LLC DBA San Dimas Community Hospital",21-RC-283677,San Dimas,CA,2021-09-28,"Region 21, Los Angeles, California",Closed,11/09/2021,Certific. of Representative,113.0,123.0,"SEIU, Local 121RN, CTW, CLC","Included: All full-time, regular part-time, and per diem registered nurses.

Excluded: All other employees, managers, guards and supervisors, as defined by the Act.",2021
15,American Medical Response of Cochise County LLC,28-RC-283517,Sierra Vista,AZ,2021-09-27,"Region 28, Phoenix, Arizona",Closed,11/18/2021,Certific. of Representative,47.0,40.0,"United Emergency Medical Professionals of Arizona, Local I-60 of International Association of Fire Fighters","Included: All full time and part time Emergency Medical Technicians, Paramedics, and Registered Nurses 

Excluded: all other employees, office clerical employees, managers, guards and supervisors as defined by the Act.",2021
16,Epiroc USA LLC,04-RC-283573,Harrisburg,PA,2021-09-27,"Region 04, Philadelphia, Pennsylvania",Closed,11/10/2021,Certific. of Representative,6.0,7.0,International Union of Operating Engineers Local 542,"Included: All Mechanics, Field Techs, Service Techs and Warehouse Techs

Excluded: Office Clerical Employees, Guards and Supervisors as defined by in the Act",2021
17,The United Illuminating Company,01-RC-283513,Orange,CT,2021-09-27,"Region 01, Boston, Massachusetts",Closed,11/15/2021,Certific. of Representative,29.0,58.0,"UTILITY WORKERS UNION OF AMERICA, AFL-CIO","Included: All full-time and regular part-time Overhead Supervisors, Underground
Supervisors, Substation Supervisors, Standard Field Supervisors, Field Technicians
Supervisors, Operations Supervisors, Line Clearance Supervisors, Civil
Construction Supervisors, Call Center Supervisors, Revenue Protection
Supervisors, Integrated Planning Supervisors, Fleet Maintenance Supervisors,
Revenue Recovery Supervisors, Test Department Supervisors, Logistics
Supervisors, Lead Supervisors, System Operators-Transmission, Revenue
protection Investigators, Integrated Planning Schedulers, Scheduling Schedulers
and Commercial Collections. Excluding: All Managers, Supervisors as defined by the act, all other employees of the Employer
",2021
18,Fragrancenet.com,29-RC-283645,Deer Park,NY,2021-09-27,"Region 29, Brooklyn, New York",Closed,11/15/2021,Certification of Results,237.0,107.0,Fragrancenet.com,"Included: All full time and regular part-time picking, packing, receiving, shipping, quality control, auditors, drivers, maintenance, warehouse and production employees Excluded: Office clerical employees, departmental Leads, guards and supervisors as defined by the Act.",2021
19,"Greenhouse Group, LLC d/b/a Curaleaf IL 2",13-RC-283559,Mokena,IL,2021-09-27,"Region 13, Chicago, Illinois",Closed,11/10/2021,Certific. of Representative,22.0,28.0,"Local 881, United Food & Commercial Workers","Included: All Full-Time and Part-Time Store Associates employed by the Employer from its facility currently located at 9930 190th Street Unit H, Mokena IL 60448.

Excluded: Managers, Store Associate Leads, guards, professional employees and 
supervisors as defined by the Act.
",2021
20,Tuality Physical Therapy and Chiropractic,19-RC-283564,Hillsboro,OR,2021-09-27,"Region 19, Seattle, Washington",Closed,10/15/2021,Withdrawal Non-adjusted,,11.0,,"Included: All service and technical employees. Excluded: All other employees, including managers, supervisors, and guards.",2021
21,Zoological Society of San Diego d/b/a San Diego Zoo Wildlife Alliance,20-RC-283465,Volcano,HI,2021-09-24,"Region 20, San Francisco, California",Closed,01/18/2022,Certific. of Representative,14.0,9.0,"AUTOMOTIVE AND ALLIED INDUSTRIES EMPLOYEES OF SAN DIEGO COUNTY, TEAMSTERS LOCAL 481 &  HAWAII TEAMSTERS AND ALLIED WORKERS, LOCAL 996","Included: Research associates and research assistants employed by the San Diego Zoological Society at the Keahou Bird Conservation Center and the Maui Bird Conservation Center. Excluded: All other Employees, guards, and Supervisors as defined in the Act, as amended.",2021
22,"Recology Oregon Compost, Inc., d/b/a Recology Organics Aumsville",19-RC-283436,Salem,OR,2021-09-24,"Region 19, Seattle, Washington",Closed,12/03/2021,Certific. of Representative,6.0,6.0,Teamsters Local Union No. 324,"Included: All full time leads, weighmasters, equipment operators and general laborers at the Recology Organics Aumsville - Salem, Oregon facility. Excluded: All sales, office clerical, professional employees, mechanics, guards and supervisors as defined by the Act.",2021
23,La Quinta Inn & Suites,14-RC-283462,Saint Louis,MO,2021-09-24,"Region 14, Saint Louis, Missouri",Closed,10/12/2021,Withdrawal Non-adjusted,,18.0,,"Included: House keeping department, breakfast attendant, maintenance, house man, laundry attendant

Excluded: All managers and supervisors as defined by the act and front desk employees",2021
24,The Pines at Voorhees Rehabilitation and Healthcare Center,04-RC-283504,Voorhees,NJ,2021-09-24,"Region 04, Philadelphia, Pennsylvania",Closed,10/20/2021,Withdrawal Non-adjusted,,6.0,,"Included:  All full-time, regular part-time, and per-diem interpreters/activity aides

Excluded*:  Petitioner seeks an Armour-Globe self-determination election
All other employees, guards, managers and supervisors as defined by the Act",2021
25,"Seminole Electric Cooperative, Inc.",12-RC-283588,Tampa,FL,2021-09-24,"Region 12, Tampa, Florida",Closed,12/20/2021,Certific. of Representative,9.0,10.0,"International Brotherhood of Electrical Workers, Local 108, AFL-CIO","Included:  All full time System Associates, Systems Coordinators I, Systems Coordinators II, Senior Systems Operators, and Systems Operators.  Excluded:  All Clerical employees, Supervisors, Management, guards, and all other defined by the law.",2021
26,"Cemex Construction Materials Pacific, LLC",31-RC-283500,Bakersfield,CA,2021-09-24,"Region 31, Los Angeles, California",Closed,12/02/2021,Certific. of Representative,5.0,6.0,"International Union of Operating Engineers, Local 12, AFL-CIO","Included: All full-time and regular part-time employees employed by the Employer at its
operations currently located at 11638 Old River Rd., Bakersfield, CA 93311 and
1157 Chino Grade Loop, Bakersfield, CA 93308 performing work under the
following classifications: Batch Plant Operator, Loader Operator and Plant
Maintenance Mechanic.

Excluded: All executives, superintendents, office clerical, guards, professional and
supervisory employees, as defined in the National Labor Relations Act.",2021
27,Staker & Parson Companies d/b/a Jack B. Parson Ready Mix Concrete,27-RC-283492,Draper,UT,2021-09-24,"Region 27, Denver, Colorado",Closed,09/26/2023,Certific. of Representative,241.0,220.0,"Independent Union of Concrete Handlers, Drivers and Operators (IUCH)","Include: Ready Mix employees in Northern Utah and Southern Idaho. Exclude: office/clerical, guards, supervisors, and professional employees",2021
28,TTX Company RSO - WRRX,21-RC-283536,Mira Loma,CA,2021-09-24,"Region 21, Los Angeles, California",Closed,10/15/2021,Withdrawal Non-adjusted,,95.0,,"Included: All Full and Regular Part Time Production and Maintenance Employees 

Excluded: All other employees including temporary employees, office/clerical and managerial employees, professional employees, guards and supervisors as defined by the act",2021
29,"First Transit, Inc.",22-RC-283360,Newark,NJ,2021-09-23,"Region 22, Newark, New Jersey",Closed,11/02/2021,Certific. of Representative,7.0,8.0,INTERNATIONAL UNION OF JOURNEYMEN AND ALLIED TRADES,"Included: All full time and regular part-time payroll, office and maintenance clerks and
reconciler employees at the Employer's paratransit facility in Newark, New Jersey.

Excluded:  All other employees including, drivers, utility, managers, guards and supervisors
as defined in the Act.",2021
30,"Semper Fi Express, LLC",18-RC-283402,Oak Creek,WI,2021-09-23,"Region 18, Minneapolis, Minnesota",Closed,11/29/2021,Certific. of Representative,39.0,35.0,"Teamsters Local 344, Sales and Service Industry","Included:   All regular full-time and part-time employees employed by the Employer at it's address of 305 E. Mahn Ct. Ste. 400, Oak Creek, WI 53154. 

Excluded:  Supervisors, managers, clerical and guards as defined by the Act.",2021
31,Hoffman Structures Inc.,19-RC-283469,Seattle,WA,2021-09-23,"Region 19, Seattle, Washington",Closed,11/19/2021,Certific. of Representative,5.0,10.0,Operative Plasterers and Cement Masons International Association Local 528,"Included:  

All full-time and regular part-time Cement Mason Journeyman and Apprentices employed by the employer actively working in the following jurisdiction.
List of Counties in Local 528's jurisdiction:  Clallum, Cowlitz, Grays Harbor, Island, Jefferson, King, Kitsap, Lewis, Mason, Pacific, Pierce, San Juan, Skagit, Snohomish, Thurston, Wahkiakum and Whatcom Counties.  

Excluded:  

All other employees (including those represented by other Unions), Guards and Supervisors",2021
32,"Grocery Delivery E-Services USA, Inc. d/b/a HelloFresh",32-RC-283407,Richmond,CA,2021-09-23,"Region 32, Oakland, California",Closed,01/03/2022,Certification of Results,763.0,850.0,,"All regular part-time and full-time employees of the Employer in the classifications Bundle
workers, Line workers, Pack or packing workers, Cleaners, Leads, Prep workers, Trainers,
Runners, Quality assurance workers, Inventory, Sanitation workers, Powered industrial truck
operators, Machine operators, Assembly, Warehouse, Shipping, Maintenance, Safety,
Sauce, Sticker, Housekeeping, Spiders, Mechanics, Labelers, Porters, Autobaggers, Social
Distance at its operations at 2041 Factory Street, Richmond, CA 94801, 

but excluding guards,
office clericals, managers and statutory supervisors.",2021
33,"Griffith Energy Services, Inc.",05-RC-283274,Baltimore,MD,2021-09-22,"Region 05, Baltimore, Maryland",Closed,10/29/2021,Certific. of Representative,21.0,16.0,Teamsters Local 570 a/w International Brotherhood of Teamsters,"Included: All full-time and part-time and seasonal delivery drivers and mechanics.  Excluded: All other classifications, clerical, management, temporary employees and professional employees as defined by the Act.",2021
34,"Midwest Air Traffic Control Service, Inc.",25-RC-283328,Dubuque,IA,2021-09-22,"Region 25, Indianapolis, Indiana",Closed,11/08/2021,Certific. of Representative,5.0,4.0,"National Air Traffic Controllers Association, AFL-CIO (NATCA)","Employees Included
All air traffic control specialists employed by the Employer at the Dubuque Regional
Airport Air Traffic Control Tower (DBQ), located at 11100 Airport Rd RFD#3, Dubuque,
Iowa 52001
Employees Excluded
All other employees, managers, guards, and supervisors as defined by the Act.",2021
35,"Midwest Air Traffic Control Service, Inc.",01-RC-283285,Danbury,CT,2021-09-22,"Region 01, Boston, Massachusetts",Closed,11/12/2021,Certific. of Representative,5.0,5.0,"National Air Traffic Controllers Association, AFL-CIO (NATCA)","Included: All full-time and regular part-time air traffic control specialists employed by the Employer at the Danbury Municipal Airport Air Traffic Control Tower (DXR), located at 88 Kenosia Ave., Danbury, CT 6810 Excluded: All other employees, managers, guards, and supervisors as defined by the Act.",2021
36,"Midwest Air Traffic Control Service, Inc.",01-RC-283304,New Bedford,MA,2021-09-22,"Region 01, Boston, Massachusetts",Closed,11/12/2021,Certific. of Representative,5.0,5.0,"National Air Traffic Controllers Association, AFL-CIO (NATCA)","Included: All full-time and regular part-time air traffic control specialists employed by the Employer at the New Bedford Regional Airport Air Traffic Control Tower (EWB), located at 1569 Airport Rd., New Bedford, MA 02746 Excluded: All other employees, managers, guards, and supervisors as defined by the Act.",2021
37,"LEO A. HOFFMAN CENTER, INC.",18-RC-283298,Sweet,MN,2021-09-22,"Region 18, Minneapolis, Minnesota",Closed,11/30/2021,Certific. of Representative,44.0,44.0,AFSCME COUNCIL 65,"Included: All full-&part-time youth counselors and recreation coordinators
Excluded: Supervisors. Confidential workers, Therapists, and RNs",2021
38,"G & J PEPSI-COLA BOTTLERS, INC.",09-RC-283297,Franklin Furnace,OH,2021-09-22,"Region 09, Cincinnati, Ohio",Closed,10/22/2021,Withdrawal Non-adjusted,,13.0,,"Included:  All-full time and part-time Service Techs, Installers, Service Tech Trainees and General Service 13
Employees, aka Vendor Delivery Workers, including Service Techs in Athens and Wilmington.  
Excluded:  All supervisors, managers, clerical, delivery drivers.",2021
39,"sp0n, Inc., d/b/a Citizen",02-RC-283400,New York,NY,2021-09-22,"Region 02, New York, New York",Closed,12/22/2021,Certific. of Representative,91.0,69.0,Communications Workers of America,"Included: All full time and regular part time employees of the employer in the Central Ops Department Excluded: All other employees including those in the Central Ops Protect subdepartment, Protect Agents, Shift Managers, Project Managers, supervisors and guards as defined by the Act.",2021
40,ELECTRONIC SYSTEMS CONSULTANTS LLC,09-RC-283322,Columbus,OH,2021-09-22,"Region 09, Cincinnati, Ohio",Closed,03/29/2022,Certific. of Representative,8.0,5.0,,"Included: All full-time and regular part-time sprinklerfitters employed by the Employer out
of its location at 1450 Universal Rd, Columbus, OH 43207.  
Excluded: All other employees, managers, office clericals, guards and supervisors as defined
in the Act.",2021
41,"Recology Pacheco Pass, dba Recology South Valley Organics",32-RC-283356,Gilroy,CA,2021-09-22,"Region 32, Oakland, California",Closed,11/02/2021,Certific. of Representative,8.0,8.0,"Sanitary Truck Drivers & Helpers, Local No. 350, International Brotherhood of Teamsters","Included:
All full-time or regular part-time laborers and operators

Excluded:
Office clericals, managers, supervisors, and guards as defined by the Act",2021
42,"VISKASE Companies, Inc.",15-RC-283320,Osceola,AR,2021-09-21,"Region 15, New Orleans, Louisiana",Closed,01/05/2022,Certification of Results,7.0,7.0,,"Included: 
All Full and Regular Part-Time Quality Control/Lab Tech Employees.

Excluded: Office Clerical Employees, Professional Employees, Managerial Employees, Guards, Supervisors, as defined in the act.
",2021
43,Public Service of Colorado,27-RC-283268,Denver,CO,2021-09-21,"Region 27, Denver, Colorado",Closed,09/29/2021,Withdrawal Non-adjusted,,2.0,,"Include: All Apprentice Coordinators employed by PSCo. Note: petitioner seeks an ""amour-globe"" election to include employees in a larger O&M unit. Exclude: Professional, confidential, and managerial employees and supervisors as defined under the Act.",2021
44,"Safeway, Inc.",19-RC-283238,Cottage Grove,OR,2021-09-21,"Region 19, Seattle, Washington",Closed,12/08/2021,Dismissal Non-adjusted,,4.0,,Included: All pharmacy clerk and tech employees in armored globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the act.,2021
45,"Safeway, Inc.",19-RC-283239,Portland,OR,2021-09-21,"Region 19, Seattle, Washington",Closed,01/24/2022,Dismissal Non-adjusted,,5.0,,Included: All pharmacy clerk and tech employees in armored globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the act.,2021
46,Albertsons LLC,19-RC-283240,Klamath Falls,OR,2021-09-21,"Region 19, Seattle, Washington",Closed,11/23/2021,Dismissal Non-adjusted,,5.0,,Included: All pharmacy clerk and tech employees in armored globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the act.,2021
47,ACLU Foundation of Arizona/ACLU of Arizona,28-RC-283197,Phoenix,AZ,2021-09-20,"Region 28, Phoenix, Arizona",Closed,11/30/2021,Certific. of Representative,12.0,13.0,"National Organization of Legal Services Workers, UAW Local 2320",,2021
48,Minnesota Historical Society,18-RC-283141,Sweet,MN,2021-09-20,"Region 18, Minneapolis, Minnesota",Closed,11/24/2021,Certific. of Representative,317.0,295.0,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME), COUNCIL 5, AFL-CIO","Included: All employees 
Excluded: Supervisors, Confidential Employees, and Guards",2021
49,"Majestic Terminal Services, Inc. d/b/a PrimeFlight Cargo",28-RC-283312,El Paso,TX,2021-09-20,"Region 28, Phoenix, Arizona",Closed,12/22/2021,Certific. of Representative,22.0,26.0,"International Brotherhood of Teamsters, Local 745","INCLUDED:  Forklift operators-leads-data entry clerks

EXCLUDED:  Managers-administration personnel",2021
50,"Dolgencorp, LLC",01-RC-283202,Barkhamsted,CT,2021-09-20,"Region 01, Boston, Massachusetts",Closed,11/10/2021,Certification of Results,7.0,5.0,,"Including: All regular and part time employees, working in the Barkhamsted, CT location.
Excluded: All office clerical and supervisors as defined in the Act.",2021
51,North Shore Gas Company,13-RC-283199,Waukegan,IL,2021-09-20,"Region 13, Chicago, Illinois",Closed,10/27/2021,Certific. of Representative,13.0,13.0,"International Brotherhood of Electrical Workers, Local 2285","Included: All full-time and regular part-time Field Coordinators, Measurement Technician, Corrosion Technician, employed with this
group by the employer. NOTE: Petitioner seeks ""Armour Globe Election"" to include employees into larger Bargaining Unit.  Excluded:  Supervisory, Managerial and confidential employees and guards as defined by the Act and other employees.",2021
52,"Phoenix Logistics, LLC",04-RC-283201,Annville,PA,2021-09-20,"Region 04, Philadelphia, Pennsylvania",Closed,11/17/2021,Certific. of Representative,5.0,5.0,"International Association of Machinists and Aerospace Workers, AFL-CIO","Instructor Operators, Instructor Operator Paramedics, Instructor Operator Lead.

Excluded: All others
",2021
53,"Island Energy Services, LLC",20-RC-283473,Kapolei,HI,2021-09-20,"Region 20, San Francisco, California",Closed,10/28/2021,Certification of Results,4.0,3.0,,"Included: Pipeline Mechanics

Excluded: Managers & Supervisors",2021
54,Lutheran Care,03-RC-283079,Clinton,NY,2021-09-17,"Region 03, Buffalo, New York",Closed,10/06/2021,Withdrawal Non-adjusted,,25.0,,"All Licensed Practical Nurses.

Excluded:  Guards, supervisors and confidential employees as defined in the Act.",2021
55,Asplundh Tree Expert LLC,06-RC-283075,Willow Grove,PA,2021-09-17,"Region 06, Pittsburgh, Pennsylvania",Closed,11/16/2021,Certific. of Representative,34.0,36.0,International Brotherhood of Electrical Workers Local 1919,"Included:  Tree Trimming, Routine Maintenance brush cutting & brush spraying employees performed for Penelec Power Co. in Pennsylvania.

Excluded:  Managers, Supervisors and Guards as defined in the Act.",2021
56,"American Plumbing Contractors, Inc.",07-RC-283067,Lansing,MI,2021-09-17,"Region 07, Detroit, Michigan",Closed,11/19/2021,Certification of Results,61.0,46.0,"Local 333, United Association of Journeymen and Apprentices of the Plumbing and Pipe Fitting Industry of the United States and Canada (UA), AFL-CIO, HVAC Mechanics","Included: All Full-Time and Regular Part-Time Journeymen and Apprentice Plumbers and Service Plumbers employed by the Employer at and out of its facility located at 16795 Old US 27,
Lansing, Michigan

Excluded: All Office Clerical Employees, Guards and Supervisors as defined by the Act, and all other Employees.",2021
57,"Almatis, Inc.",06-RC-283154,Leetsdale,PA,2021-09-17,"Region 06, Pittsburgh, Pennsylvania",Closed,11/04/2021,Certification of Results,42.0,38.0,,"Included: All full-time and part-time Tabular Operators, Calcines Operators, Tabular Technicians, Maintenance Techs, Shipping, Receiving, and Lab employees 

Excluded: Office Clerical, Supervisors, and Professional Employees as defined in the Act",2021
58,Liberty Tire Recycling,10-RC-283066,Atlanta,GA,2021-09-17,"Region 10, Atlanta, Georgia",Closed,10/25/2021,Certific. of Representative,20.0,16.0,Teamsters Local 728,"Included: Drivers and drivers' helpers

Excluded: All other employees",2021
59,California Independent System Operator Corporation,20-RC-283094,Folsom,CA,2021-09-17,"Region 20, San Francisco, California",Closed,11/17/2021,Certific. of Representative,60.0,63.0,"International Brotherhood of Electrical Workers, Local Union 1245","Included:
All full time and regular part time transmission dispatchers and lead transmission
dispatchers, generation dispatchers and lead generation dispatchers, transmission security
and lead transmission security, market operators and lead market operators, and
reliability coordinators and lead reliability coordinators which are assigned to work at the
employer's properties at250 Outcropping Way in Folsom, CA, and 500 Business Park
Drive in Lincoln, CA.

Excluded:
All employees not employed by the Employer; supervisors, confidential employees, and
management employees as defined by the Act; security guards and officers; all other
employees.",2021
60,"Garfield Beach CVS, LLC dba CVS Pharmacy",31-RC-283127,Fontana,CA,2021-09-17,"Region 31, Los Angeles, California",Closed,10/25/2021,Certific. of Representative,15.0,14.0,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,  LOCAL 1167","Included: All regular full-time and part-time employees including Shift Supervisor B, Shift Supervisor, Store Associate, Store Associate RX, Cashier, Clerk, Lead Pharmacy Tech, Inventory Specialist, Pharmacy Tech, Pharmacy Service Associate, Pharmacy Interns, Beauty Consultant 

Excluded: Store Team Leader, Operational Manager, Operational Supervisor, Register Pharmacist, Beauty Manager, Beauty Supervisor",2021
61,FIELDCORE SERVICE SOLUTIONS LLC,09-RC-283041,West Chester,OH,2021-09-16,"Region 09, Cincinnati, Ohio",Closed,11/22/2021,Certification of Results,49.0,43.0,,"Included:  All tool center employees, all hoist, tooling & inspection, shipping, and coordinators 2s.

Excluded:  All others.",2021
62,"Intermodal Mexico USA, LLC",12-RC-283049,Jacksonville,FL,2021-09-16,"Region 12, Tampa, Florida",Closed,12/10/2021,Certific. of Representative,50.0,42.0,"International Brotherhood of Teamsters, Local 512","Included: Full-Time / Part-Time Drivers, Operators, Groundsmen & Leads

Excluded: All Supervisors, Office Staff, Clerks and Mechanics
",2021
63,"Grounds Management, Inc.., d/b/a GMI National Service Company",28-RC-283037,Fort Bliss,TX,2021-09-16,"Region 28, Phoenix, Arizona",Closed,12/03/2021,Certific. of Representative,13.0,12.0,International Union of Operating Engineers Local 351,"Included: All hourly full-time employees employed as Ground Maintenance and Janitorial 
Excluded: All supervisors as defined by the Act.",2021
64,"Technica, LLC",31-RC-283029,Barstow,CA,2021-09-16,"Region 31, Los Angeles, California",Closed,11/09/2021,Certific. of Representative,24.0,17.0,"Teamsters, Chauffeurs, Warehousemen, Industrial and Allied Workers of America, Local 166","Included: All Material Coordinators, Material Coordinator – Lead Hazmats, and
Woodworkers employed by the Employer operating out of the Marine Corps
Logistics Base in Barstow, CA.
Excluded: All other employees, office clerical and confidential employees, guards and
Supervisors as defined by the Act, as amended.",2021
65,"Republic Services dba San Francisco Bay Railway, LLC",20-RC-283071,San Francisco,CA,2021-09-16,"Region 20, San Francisco, California",Closed,09/28/2021,Withdrawal Non-adjusted,,9.0,,"Included: heavy equipment operators, conductors, laborers, welders, mechanics
Excluded: supervisors, managers, sales and accounting",2021
66,"55 Kondracki Lane Operations LLC, d/b/a Quinnipiac Valley Center",01-RC-282946,Wallingford,CT,2021-09-15,"Region 01, Boston, Massachusetts",Closed,11/05/2021,Certification of Results,41.0,45.0,,"Included: All full time, regular part time and per diem Certified Nursing Aides.
Excluded: All others employees, guards, supervisors and managers as defined in the Act.",2021
67,"Nieves & Nieves Engineers and Contractors, Inc.",12-RC-282972,Lares,PR,2021-09-15,"Region 12, Tampa, Florida",Closed,12/28/2021,Certification of Results,51.0,30.0,,"Included: all the full time and regular part time employees including but not limited to heavy equipment operators, workers, masons, bricklayers, etc. employed by the Employer at its facilities excluded: all other employees, office clerical employees, professional employees, confidential employees, guards and supervisors as defined by the Act.",2021
68,"Cannaseur's Choice, LLC",19-RC-282922,Renton,WA,2021-09-14,"Region 19, Seattle, Washington",Closed,02/14/2022,Certification of Results,23.0,29.0,,"Included:  

Growers, Trimmers, Processors, and Fulfillment Associates

Excluded:

Sales Associates, Marketing, Inventory Extraction, Drivers, and all Supervisors.",2021
69,"Rush Ontario, LLC",13-RC-282860,Chicago,IL,2021-09-14,"Region 13, Chicago, Illinois",Closed,10/20/2021,Certific. of Representative,3.0,3.0,"International Union of Operating Engineers, Local 399","Included: All full-time and regular part-time skilled maintenance employees working at AC Hotel Chicago Downtown located at 630 North Rush Street, Chicago, IL 60611.

Excluded:  Office Clerical, Professional Employees, mangers, guards, 
and supervisors as defined by the Act.
",2021
70,Fragrancenet.com,29-RC-282944,Deer Park,NY,2021-09-14,"Region 29, Brooklyn, New York",Closed,09/24/2021,Withdrawal Non-adjusted,,107.0,,"Included: All full time and regular part-time picking, packing, receiving, shipping, checking, quality control, auditors, drivers, garbage, maintenance, warehouse and production workers. Excluded: Clerical employees, supervisors and guards as defined by the Act.",2021
