,Region,Case Number,Case ID,Case Name,Case Type,Dispute Unit City,Dispute Unit State,Election Held Date,Num Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,Stipulated / Consent / Directed,Cert of Rep (Win),Cert of Results (Loss),Closed Date,Closed Reason,Year,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
18,"01, 34",01-RC-270539,,"Milford Regional Medical Center, Inc.",RC,Milford,MA,2021-01-29 00:00:00,525,195,256,Massachusetts Nurses Association,Stipulated,WON,,2021-03-02 00:00:00,Certific. of Representative,2021,,,,,
19,"01, 34",01-RC-270696,,"First Student, Inc.",RC,Exeter,NH,2021-01-22 00:00:00,2,0,2,Teamsters Local 633 of New Hampshire,Stipulated,WON,,2021-02-24 00:00:00,Certific. of Representative,2021,,,,,
20,"01, 34",01-RC-270745,,North Suffolk Mental Health Association Inc,RC,Chelsea,MA,2021-02-05 00:00:00,423,35,147,SERVICE EMPLOYEES INTERNATIONAL UNION LOCAL 509,Stipulated,WON,,2021-03-11 00:00:00,Certific. of Representative,2021,,,,,
21,"01, 34",01-RC-270896,,"The Waltham Committee, Inc. d/b/a WCI- Work, Community, Independence",RC,Waltham,MA,2021-01-29 00:00:00,53,5,27,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS JOINT COUNCIL 10 NEW ENGLAND, TEAMSTERS LOCAL UNION NO. 25",Stipulated,WON,,2021-03-02 00:00:00,Certific. of Representative,2021,,,,,
22,"01, 34",01-RC-271056,,CAPAVI-USA Inc.,RC,Woburn,MA,2021-02-05 00:00:00,13,5,8,Pipefitters Association Local 537,Stipulated,WON,,2021-04-13 00:00:00,Certific. of Representative,2021,,,,,
23,"01, 34",01-RC-271255,,MaineHealth d/b/a Maine Medical Center,RC,Portland,ME,2021-03-29 00:00:00,1962,750,1001,"MAINE STATE NURSES ASSOCIATION/NATIONAL NURSES ORGANIZING COMMITTEE/ NATIONAL NURSES UNITED, AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATIONS (AFL-CIO)",Stipulated,WON,,2021-05-10 00:00:00,Certific. of Representative,2021,,,,,
24,"01, 34",01-RC-271316,,"Wintonbury Care Center, LLC d/b/a Touchpoints at Bloomfield",RC,Bloomfield,CT,2021-02-09 00:00:00,18,0,17,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199 SEIU",Stipulated,WON,,2021-04-08 00:00:00,Certific. of Representative,2021,,,,,
25,"01, 34",01-RC-271354,,"OLD PLANTERS OF CAPE ANN, INC. d/b/a CAPE ANN CANNABIS",RC,Newburyport,MA,2021-02-18 00:00:00,10,7,2,UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 1445,Stipulated,,LOSS,2021-03-23 00:00:00,Certification of Results,2021,,,,,
26,"01, 34",01-RC-271391,,"Holistic Industries Inc., d/b/a Liberty Cannabis",RC,Springfield,MA,2021-02-12 00:00:00,12,6,4,"UNITED FOOD AND COMMERCIAL WORKERS UNION, LOCAL 1459",Stipulated,,LOSS,2021-03-23 00:00:00,Certification of Results,2021,,,,,
27,"01, 34",01-RC-271472,,Harborside Connecticut Limited Partnership d/b/a The Willows,RC,Woodbridge,CT,2021-02-11 00:00:00,20,0,17,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199, SEIU",Stipulated,WON,,2021-03-10 00:00:00,Certific. of Representative,2021,,,,,
28,"01, 34",01-RC-272344,,"Danvers – S, Inc. d/b/a Ira Subaru",RC,Danvers,MA,2021-04-02 00:00:00,14,10,0,"International Association of Machinists and Aerospace Workers, AFL-CIO, District Lodge 15",Directed,,LOSS,2021-05-03 00:00:00,Certification of Results,2021,,,,,
29,"01, 34",01-RC-272355,,"Danvers – T, Inc. d/b/a Ira Toyota of Danvers",RC,Danvers,MA,2021-04-02 00:00:00,48,30,7,"International Association of Machinists and Aerospace Workers, AFL-CIO, District Lodge 15",Directed,,LOSS,2021-05-03 00:00:00,Certification of Results,2021,,,,,
30,"01, 34",01-RC-272753,,"Greenleaf Compassionate Care Center, Inc.",RC,Portsmouth,RI,2021-03-12 00:00:00,28,1,21,United Food and Commercial Workers Union Local 328,Stipulated,WON,,2021-04-13 00:00:00,Certific. of Representative,2021,,,,,
31,"01, 34",01-RC-273064,,"GPI NH-T, Inc. d/b/a Ira Toyota of Manchester",RC,Manchester,NH,2021-04-05 00:00:00,28,22,0,"International Association of Machinists and Aerospace Workers, AFL-CIO, District Lodge 15",Directed,,LOSS,2021-05-05 00:00:00,Certification of Results,2021,,,,,
32,"01, 34",01-RC-273352,,"Eastern Bus Company, Inc.",RC,Medford,MA,2021-03-19 00:00:00,43,15,22,International Brotherhood of Teamsters Local Union #25,Directed,WON,,2021-03-29 00:00:00,Certific. of Representative,2021,,,,,
33,"01, 34",01-RC-273537,,"Prospect RI Home Health and Hospice, LLC",RC,Providence,RI,2021-03-31 00:00:00,41,13,23,United Nurses and Allied Professionals,Stipulated,WON,,2021-05-03 00:00:00,Certific. of Representative,2021,,,,,
34,"01, 34",01-RC-273550,,"Prospect RI Home Health and Hospice, LLC",RC,Providence,RI,2021-03-31 00:00:00,13,4,8,UNITED NURSES AND ALLIED PROFESSIONALS,Stipulated,WON,,2021-05-03 00:00:00,Certific. of Representative,2021,,,,,
35,"01, 34",01-RC-273781,,"The Verb is Herb, LLC",RC,Easthampton,MA,2021-04-09 00:00:00,7,4,3,United Food and Commercial Workers Union Local 1459,Stipulated,,LOSS,2021-05-24 00:00:00,Certification of Results,2021,,,,,
36,"01, 34",01-RC-273937,,Electronic Environments Co. LLC,RC,Marlborough,MA,2021-04-05 00:00:00,9,6,3,Teamsters Union Local 170,Stipulated,,LOSS,2021-05-04 00:00:00,Certification of Results,2021,,,,,
37,"01, 34",01-RC-274079,,"The Waltham Committee, Inc. d/b/a WCI- Work, Community, Independence",RC,Waltham,MA,2021-04-22 00:00:00,93,25,32,International Brotherhood of Teamsters Joint Council 10 New England Teamsters Local 25,Stipulated,WON,,2021-05-26 00:00:00,Certific. of Representative,2021,,,,,
38,"01, 34",01-RC-274273,,First Student,RC,Weston,CT,2021-04-08 00:00:00,17,0,15,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, LOCAL 191",Stipulated,WON,,2021-05-04 00:00:00,Certific. of Representative,2021,,,,,
39,"01, 34",01-RC-274427,,"Retail Express North, Inc., d/b/a NRX Logistics",RC,Boston,MA,2021-04-21 00:00:00,11,5,4,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 653,Stipulated,,LOSS,2021-04-29 00:00:00,Certification of Results,2021,,,,,
40,"01, 34",01-RC-274690,,"THE WESTERLY AMBULANCE CORPS, INC.",RC,Westerly,RI,2021-04-28 00:00:00,29,0,15,"INTERNATIONAL ASSOCIATION OF EMT'S AND PARAMEDICS (IAEP), NATIONAL ASSOCIATION OF GOVERNMENT EMPLOYEES (NAGE), SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU), LOCAL 5000",Stipulated,WON,,2021-05-28 00:00:00,Certific. of Representative,2021,,,,,
41,"01, 34",01-RC-274917,,Brown University,RC,Providence,RI,2021-04-28 00:00:00,12,0,10,International Brotherhood of Police Officers,Stipulated,WON,,2021-05-28 00:00:00,Certific. of Representative,2021,,,,,
42,"01, 34",01-RC-275020,,City Carting LLC,RC,Stamford,CT,2021-05-05 00:00:00,30,10,16,"International Brotherhood of Teamsters, Local 813",Stipulated,WON,,2021-06-02 00:00:00,Certific. of Representative,2021,,,,,
43,"01, 34",01-RC-275171,,"Brock & Company, Inc.",RC,Farmington,CT,2021-05-07 00:00:00,18,6,9,UNITED FOOD AND COMMERCIAL WORKERS UNION LOCAL 371,Stipulated,WON,,2021-06-08 00:00:00,Certific. of Representative,2021,,,,,
44,"01, 34",01-RC-275287,,"Healthcare Services Group, Inc.",RC,Naugatuck,CT,2021-04-26 00:00:00,21,3,13,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199 SEIU",Stipulated,WON,,2021-05-25 00:00:00,Certific. of Representative,2021,,,,,
45,"01, 34",01-RC-275719,,The McLean Hospital Corporation,RC,Belmont,MA,2021-05-17 00:00:00,94,30,64,"American Federation of State, County and Municipal Employees, AFL-CIO Council 93",Stipulated,WON,,2021-06-21 00:00:00,Certific. of Representative,2021,,,,,
46,"01, 34",01-RC-275738,,"Simsbury Volunteer Ambulance Association, Inc.",RC,Simsbury,CT,2021-05-10 00:00:00,17,3,8,"International Association of EMT's and Paramedics, Service Employees International Union, Local 5000",Stipulated,WON,,2021-06-09 00:00:00,Certific. of Representative,2021,,,,,
47,"01, 34",01-RC-276014,,"Jones Lang Lasalle Americas, Inc.",RC,Andover,MA,2021-07-28 00:00:00,10,1,8,"UTILITY WORKERS UNION OF AMERICA, LOCAL 369",Directed,WON,,2021-08-05 00:00:00,Certific. of Representative,2021,,,,,
48,"01, 34",01-RC-276974,,"Jones Lang Lasalle Americas, Inc.",RC,Andover,MA,2021-07-28 00:00:00,29,19,7,AREA TRADES COUNCIL,Directed,,LOSS,2021-08-05 00:00:00,Certification of Results,2021,,,,,
49,"01, 34",01-RC-277064,,HNS Management Company d/b/a CT Transit,RC,Hartford,CT,2021-06-04 00:00:00,4,1,3,International Brotherhood of Teamsters Local 671,Stipulated,WON,,2021-07-08 00:00:00,Certific. of Representative,2021,,,,,
50,"01, 34",01-RC-277346,,"Midwest Air Traffic Control Services, Inc.",RC,Groton,CT,2021-06-07 00:00:00,4,0,4,"National Air Traffic Controllers Association, AFL-CIO (NATCA)",Stipulated,WON,,2021-07-08 00:00:00,Certific. of Representative,2021,,,,,
51,"01, 34",01-RC-277959,,Secure Care Options LLC d/b/a 60 West,RC,Rocky Hill,CT,2021-06-28 00:00:00,21,3,15,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199 SEIU",Stipulated,WON,,2021-07-21 00:00:00,Certific. of Representative,2021,,,,,
52,"01, 34",01-RC-278465,,"UMass Memorial Medical Center, Inc.",RC,Barre,MA,2021-07-02 00:00:00,7,0,6,MASSACHUSETTS NURSES ASSOCIATION,Stipulated,WON,,2021-08-06 00:00:00,Certific. of Representative,2021,,,,,
53,"01, 34",01-RC-279250,,"Wheelabrator North Andover, Inc.",RC,North Andover,MA,2021-08-06 00:00:00,40,22,14,International Brotherhood of Electrical Workers Local 103,Stipulated,,LOSS,2021-08-17 00:00:00,Certification of Results,2021,,,,,
54,"01, 34",01-RC-279858,,"Wynn MA, LLC d/b/a Encore Boston Harbor",RC,Everett,MA,2021-08-20 00:00:00,128,30,48,United Government Security Officers of America International Union and its Local 295,Stipulated,WON,,2021-09-21 00:00:00,Certific. of Representative,2021,,,,,
55,"01, 34",01-RC-280253,,Bull Moose Music,RC,Salem,NH,2021-08-23 00:00:00,21,0,15,United Food and Commercial Workers International Union,Stipulated,WON,,2021-09-22 00:00:00,Certific. of Representative,2021,,,,,
56,"01, 34",01-RC-280588,,"1 Emerson Drive South Operations LLC, d/b/a Kimberly Hall South",RC,Windsor,CT,2021-08-23 00:00:00,19,0,12,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199, SEIU",Stipulated,WON,,2021-09-15 00:00:00,Certific. of Representative,2021,,,,,
57,"01, 34",01-RD-256070,,WV-Crossings East LLC d/b/a Harbor Village North Health and Rehabilitation Center,RD,New London,CT,2020-10-05 00:00:00,102,44,13,"NEW ENGLAND HEALTH CARE EMPLOYEES UNION, DISTRICT 1199, SEIU",Stipulated,,LOSS,2020-11-04 00:00:00,Certification of Results,2021,,,,,
58,"01, 34",01-RD-264260,,The Lawrence & Memorial Hospital,RD,New London,CT,2020-09-11 00:00:00,23,3,13,"International Union, Security, Police & Fire Professionals of America (SPFPA)",Stipulated,WON,,2020-10-14 00:00:00,Certific. of Representative,2021,,,,,
59,"01, 34",01-RD-266362,,"Penske Truck Leasing Co., L.P.",RD,East Windsor,CT,2020-10-20 00:00:00,13,8,4,"Teamsters, Local 671",Directed,,LOSS,2020-11-24 00:00:00,Certification of Results,2021,,,,,
60,"01, 34",01-RD-266718,,Durham D&M LLC,RD,Cumberland,RI,2020-11-20 00:00:00,111,34,55,United Food and Commercial Workers Union Local 328,Directed,WON,,2020-12-22 00:00:00,Certific. of Representative,2021,,,,,
61,"01, 34",01-RD-267972,,St. Luke's Hospital,RD,New Bedford,MA,2020-11-18 00:00:00,772,288,293,Massachusetts Nurses Association,Stipulated,WON,,2021-03-04 00:00:00,Certific. of Representative,2021,,,,,
62,"01, 34",01-RD-273027,,Treadwell Corporation,RD,Thomaston,CT,2021-04-02 00:00:00,9,9,0,"International Union, U.A.W. Amalgamated Local 376",Stipulated,,LOSS,2021-04-28 00:00:00,Certification of Results,2021,,,,,
63,"01, 34",01-RD-275435,,Management & Training Corporation,RD,Chicopee,MA,2021-05-11 00:00:00,28,13,5,"IUE-CWA, The Industrial Division of the Communications Workers of America, ALF-CIO",Stipulated,,LOSS,2021-08-11 00:00:00,Certification of Results,2021,,,,,
64,"01, 34",01-RD-275595,,"UTGR, Inc. d/b/a Twin River Casino Hotel",RD,Lincoln,RI,2021-05-19 00:00:00,509,43,126,"LIUNA, LOCAL UNION 711",Stipulated,WON,,2021-06-21 00:00:00,Certific. of Representative,2021,,,,,
65,"01, 34",01-RD-277253,,"J.F. Moran Trucking Company, Inc.",RD,Smithfield,RI,2021-06-28 00:00:00,5,3,1,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 251,Stipulated,,LOSS,2021-07-07 00:00:00,Certification of Results,2021,,,,,
66,"01, 34",01-RM-278080,,"Hartford Technologies, Inc.",RM,Rocky Hill,CT,2021-06-21 00:00:00,6,6,0,UAW Local 376,Stipulated,,LOSS,2021-07-15 00:00:00,Certification of Results,2021,,,,,
67,02,02-RC-218783,,"Concrete Express of NY, LLC",RC,Bronx,NY,2021-02-15 00:00:00,3,3,0,"Teamsters Local 456, I.B.T.",Stipulated,,LOSS,2021-03-24 00:00:00,Certification of Results,2021,,,,,
68,02,02-RC-255684,,"Universal Protection Services, LLC d/b/a Allied Universal Security",RC,Bronx,NY,2020-10-30 00:00:00,20,2,1,Local 642 Security Allied Federated Employees Union S.A.F.E.,Stipulated,,LOSS,2021-01-06 00:00:00,Certification of Results,2021,,,,,
69,02,02-RC-260613,,"Carestream Health, Inc.",RC,New York,NY,2020-06-22 00:00:00,20,8,9,International Brotherhood of Electrical Workers Local 3,Stipulated,,LOSS,2020-10-26 00:00:00,Certification of Results,2021,,,,,
70,02,02-RC-261497,,Kolmar Laboratories,RC,Port Jervis,NY,2020-07-22 00:00:00,313,232,31,International Brotherhood of Electrical Workers Local 1430,Directed,,LOSS,2020-10-02 00:00:00,Certification of Results,2021,,,,,
71,02,02-RC-262518,,Laz Parking NY/NJ LLC,RC,Peekskill,NY,2020-09-18 00:00:00,5,2,0,GARAGE EMPLOYEES UNION LOCAL 272,Directed,,LOSS,2020-10-22 00:00:00,Certification of Results,2021,,,,,
72,02,02-RC-263371,,"Shinda Management Corporation and Lennox and Pennamon Housing Development Fund Corp., as Joint Emplo",RC,Queens Village,NY,2020-08-17 00:00:00,5,0,4,Local 1032 League of International Federated Employees,Stipulated,WON,,2020-12-30 00:00:00,Certific. of Representative,2021,,,,,
73,02,02-RC-264192,,Rising Ground,RC,Bronx,NY,2020-09-08 00:00:00,10,2,0,Warehouse Production Sales and Allied Service Employees Union Local 811 AFL-CIO,Stipulated,,LOSS,2020-10-29 00:00:00,Certification of Results,2021,,,,,
74,02,02-RC-265403,,Woolworth Tower Residences,RC,New York,NY,2020-09-24 00:00:00,7,0,5,SEIU 32BJ,Stipulated,WON,,2020-11-16 00:00:00,Certific. of Representative,2021,,,,,
75,02,02-RC-265512,,One Van Dam Condominium,RC,New York,NY,2020-11-17 00:00:00,7,0,3,SEIU 32BJ,Stipulated,WON,,2020-11-25 00:00:00,Certific. of Representative,2021,,,,,
76,02,02-RC-265514,,Rising Ground,RC,Bronx,NY,2020-09-28 00:00:00,8,1,1,Warehouse Production Sales and Allied Service Employees Union Local 811 AFL-CIO,Stipulated,,LOSS,2020-11-17 00:00:00,Certification of Results,2021,,,,,
77,02,02-RC-265520,,Rising Ground,RC,Bronx,NY,2020-09-28 00:00:00,8,1,3,Warehouse Production Sales and Allied Service Employees Union Local 811 AFL-CIO,Stipulated,WON,,2020-11-17 00:00:00,Certific. of Representative,2021,,,,,
78,02,02-RC-265523,,Rising Ground,RC,Bronx,NY,2020-09-28 00:00:00,13,3,0,Warehouse Production sales and allied service employees union local 811 AFL-CIO,Stipulated,,LOSS,2020-11-17 00:00:00,Certification of Results,2021,,,,,
79,02,02-RC-265673,,Rising Ground,RC,Bronx,NY,2020-09-28 00:00:00,7,2,0,Warehouse Production Sales and Allied Service Employees,Stipulated,,LOSS,2020-11-17 00:00:00,Certification of Results,2021,,,,,
80,02,02-RC-265692,,Rising Ground,RC,Yonkers,NY,2020-09-28 00:00:00,10,0,4,Warehouse Production Sales and Allied Service Employees Union Local 811 AFL-CIO,Stipulated,WON,,2020-11-17 00:00:00,Certific. of Representative,2021,,,,,
81,02,02-RC-266018,,Suburban Propane L.P.,RC,Mount Kisco,NY,2020-10-09 00:00:00,6,2,4,IBT LOCAL 456,Stipulated,WON,,2020-11-24 00:00:00,Certific. of Representative,2021,,,,,
82,02,02-RC-266212,,"Planned Building Services, Inc. and Planned Lifestyle Services, Inc., part of and related to Planned",RC,New York,NY,2020-10-14 00:00:00,9,0,7,Service Employees International Union Local 32BJ,Stipulated,WON,,2020-12-16 00:00:00,Certific. of Representative,2021,,,,,
83,02,02-RC-266419,,"Film at Lincoln Center, Inc.",RC,New York,NY,2020-10-23 00:00:00,52,4,0,"Technical, Office & Professional Union, Local 2110 UAW, AFL-CIO",Stipulated,WON,,2020-12-04 00:00:00,Certific. of Representative,2021,,,,,
84,02,02-RC-267605,,Garnet Health Medical Center,RC,Middletown,NY,2020-12-21 00:00:00,35,0,21,INTERNATIONAL UNION SECURITY POLICE AND FIRE PROFESSIONALS OF AMERICA (SPFPA) AND ITS LOCAL 108,Stipulated,WON,,2021-01-06 00:00:00,Certific. of Representative,2021,,,,,
85,02,02-RC-267888,,Museum of Jewish Heritage,RC,New York,NY,2020-11-18 00:00:00,26,5,17,"District Council 37, AFSCME, AFL-CIO",Stipulated,WON,,2021-01-07 00:00:00,Certific. of Representative,2021,,,,,
86,02,02-RC-267977,,"Fountain House, Inc.",RC,New York,NY,2020-11-19 00:00:00,106,0,0,"American Federation of State, County and Municipal Employees",Stipulated,,LOSS,2020-12-29 00:00:00,Certification of Results,2021,,,,,
87,02,02-RC-268642,,White Plains Hospital,RC,New York,NY,2021-01-11 00:00:00,138,41,57,1199SEIU United Healthcare Workers East,Stipulated,WON,,2021-01-20 00:00:00,Certific. of Representative,2021,,,,,
88,02,02-RC-269371,,American Water Military Services,RC,Highland,NY,2020-12-10 00:00:00,23,9,7,"Utility Workers Union of America, AFL-CIO",Stipulated,,LOSS,2021-02-10 00:00:00,Certification of Results,2021,,,,,
89,02,02-RC-269586,,"Wash Supply Laundromat, Inc.",RC,New York,NY,2020-12-22 00:00:00,10,1,5,Laundry Workers Association (ATL-LWA),Stipulated,WON,,2021-02-09 00:00:00,Certific. of Representative,2021,,,,,
90,02,02-RC-270080,,BioBus Inc.,RC,New York,NY,2021-01-29 00:00:00,14,0,11,"Office and Professional Employees International Union, Local 153",Stipulated,WON,,2021-02-08 00:00:00,Certific. of Representative,2021,,,,,
91,02,02-RC-270206,,The Whitney museum of American art,RC,New York,NY,2021-02-08 00:00:00,37,0,25,"Law Enforcement Officers Security Unions LEOSU, LEOS-PBA",Stipulated,WON,,2021-03-22 00:00:00,Certific. of Representative,2021,,,,,
92,02,02-RC-270671,,The Whitney Museum of American Art,RC,New York,NY,2021-02-08 00:00:00,37,0,25,Law Enforcement Officers Security Unions (LEOSU),Stipulated,WON,,2021-03-22 00:00:00,Certific. of Representative,2021,,,,,
93,02,02-RC-271846,,White Plains Hospital,RC,New York,NY,2021-02-24 00:00:00,44,26,17,1199SEIU United Healthcare Workers East,Stipulated,,LOSS,2021-04-26 00:00:00,Certification of Results,2021,,,,,
94,02,02-RC-271961,,"Diversified Glass & Storefronts, Inc.",RC,Orangeburg,NY,2021-03-05 00:00:00,40,31,4,"DISTRICT COUNCIL 9, INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, AFL-CIO",Stipulated,,LOSS,2021-05-03 00:00:00,Certification of Results,2021,,,,,
95,02,02-RC-272334,,"Oven Artisans, Inc., d/b/a Orwashers Bakery",RC,Bronx,NY,2021-03-19 00:00:00,43,25,9,"Bakery Confectionery Tobacco Workers' and Grain Millers Int'l Union, AFL-CIO, Local 53",Directed,,LOSS,2021-05-05 00:00:00,Certification of Results,2021,,,,,
96,02,02-RC-272585,,"Studio in a School NYC, LLC",RC,New York,NY,2021-03-12 00:00:00,107,15,76,"TECHNICAL, OFFICE & PROFESSIONAL UNION, LOCAL 2110, UAW",Stipulated,WON,,2021-04-26 00:00:00,Certific. of Representative,2021,,,,,
97,02,02-RC-272611,,Foragers Chelsea LLC,RC,New York,NY,2021-03-10 00:00:00,19,0,9,United Food & Commercial Workers Union Local 1500,Stipulated,WON,,2021-04-22 00:00:00,Certific. of Representative,2021,,,,,
98,02,02-RC-273144,,"Daily News, L.P.",RC,New York,NY,2021-03-19 00:00:00,68,3,55,"The NewsGuild of New York, Local 31003 TNG/CWA",Stipulated,WON,,2021-05-14 00:00:00,Certific. of Representative,2021,,,,,
99,02,02-RC-273613,,St. Anthony's Community Hospital,RC,Warwick,NY,2021-04-02 00:00:00,37,2,24,1199SEIU United Healthcare Workers East,Stipulated,WON,,2021-05-11 00:00:00,Certific. of Representative,2021,,,,,
100,02,02-RC-274110,,"Veolia Energy Operating Services, Inc.",RC,Pearl River,NY,2021-04-14 00:00:00,19,4,11,International Union of Operating Engineers Local 30,Stipulated,WON,,2021-05-21 00:00:00,Certific. of Representative,2021,,,,,
101,02,02-RC-274872,,Montefiore Medical Center,RC,Bronx,NY,2021-05-03 00:00:00,8,0,5,Special and Superior Officers Benevolent Association,Stipulated,WON,,2021-06-15 00:00:00,Certific. of Representative,2021,,,,,
102,02,02-RC-275194,,Schervier Pavilion,RC,Hawthorne,NY,2021-05-05 00:00:00,86,6,50,1199SEIU United Healthcare Workers East,Stipulated,WON,,2021-07-02 00:00:00,Certific. of Representative,2021,,,,,
